priogrid_gid,year_month,lat,lon,faction,level1_side,level2_group,n_events,total_deaths,n_unique_groups,junta_events,anti_junta_events,flag_junta,flag_pdf,flag_kia,flag_aa,flag_karen,flag_karenni,flag_tnla,flag_mndaa,flag_chin_resistance,junta_event_share,anti_junta_event_share,is_pro_junta,n_events_lag1,n_events_lag3,n_events_lag6,n_events_roll3,n_events_roll6,total_deaths_lag1,total_deaths_lag3,total_deaths_lag6,total_deaths_roll3,total_deaths_roll6,event_trend_3m,months_since_last_event,months_in_current_faction,neighbor_n_events,neighbor_changed_faction,attacker_matches_controller,level1_side_next,changed,split
163989,2025-03,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,2.0,1.0,-0.5000000000000001,2.0,46,1.0,0,0,Anti-Junta,0,train
163989,2025-04,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.0,6.0,0.0,2.0,1.0,0.0,3.0,47,0.0,0,0,Anti-Junta,0,train
163989,2025-04,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,4.0,48,0.0,0,0,Anti-Junta,0,train
163989,2025-05,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,5.0,49,3.0,0,0,Anti-Junta,0,train
163989,2025-05,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,6.0,0.0,1.0,0.0,6.0,50,3.0,0,0,Anti-Junta,0,train
163989,2025-06,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,51,0.0,0,0,Anti-Junta,0,train
163989,2025-07,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,52,0.0,0,0,Anti-Junta,0,train
163989,2025-08,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,53,0.0,0,0,Anti-Junta,0,train
163989,2025-09,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,54,0.0,0,0,Anti-Junta,0,train
163989,2025-10,23.75,94.25,Chin Resistance,Anti-Junta,Ethnic armed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,55,2.0,0,0,Anti-Junta,0,train
